Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Donnarumma G.;P;7;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;181
Titolare;Kolarov;D;6;;1600
Titolare;Romagnoli A.;D;4.5;;404
Titolare;Gosens;D;5.5;;1533
Titolare;Calhanoglu;C;6.5;;1507
Titolare;Nainggolan;C;6;;343
Titolare;Pulgar;C;6;;931
Riserva;Zielinski;C;;;486
Titolare;Orsolini;C;5;;1519
Titolare;Ilicic;A;5;;249
Titolare;Milik;A;5.5;;1296
Riserva;Strakosha;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;439
Titolare;Milinkovic S.;C;6;;760
Riserva;Pandev;C;6;;675
Riserva;Castagne;D;;imgBonus size-s imgBonus_6;1515
Riserva;Pinamonti;A;6;;1306
Riserva;Defrel;A;6;;801
Riserva;Manolas;D;6;;300
