Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Okoye;P;6.25;imgBonus size-s imgBonus_10;3210
Titolare;Akanji;D;6.25;;3818
Titolare;Bisseck;D;6;;3093
Titolare;Solet;D;7;;3541
Titolare;Kamara;D;6;;3085
Titolare;Sucic;C;6;;3737
Titolare;Bernardeschi;C;5.75;;86
Titolare;Esposito Pio;A;6;;3744
Titolare;Malen;A;7;imgBonus size-s imgBonus_9;3877
Titolare;Bonny;A;6;;3380
Titolare;Thuram;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;3073
Riserva;Suzuki;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;3408
Riserva;Corvi;P;;;2183
Riserva;Rinaldi;P;;;2376
Riserva;Kone M.;C;7;imgBonus size-s imgBonus_9;3500
Riserva;Thuram K.;C;6;;3413
Riserva;Toure I.;C;6;;3725
Riserva;Marcandalli;D;6.25;;3362
