Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Ospina;P;6;imgBonus size-s imgBonus_2;1869
Titolare;Chiriches;D;6;;757
Titolare;Becao;D;6.5;imgBonus size-s imgBonus_6;2034
Titolare;Muldur;D;6;;2107
Titolare;Agudelo;C;6;;2100
Titolare;Frattesi;C;6;;1431
Titolare;Rincon;C;5.5;;398
Titolare;Candreva;C;4.5;imgBonus size-s imgBonus_4;33
Titolare;Beto;A;5;;2590
Titolare;Joao Pedro;A;5;imgBonus size-s imgBonus_6;836
Titolare;Abraham;A;5.5;;2558
Riserva;Marfella;P;;;1882
Riserva;Bastoni S.;D;6.5;;2255
Riserva;Amian;D;6.5;;2529
Riserva;Amiri;C;6.5;;2702
Riserva;Gyasi;A;6.5;;2266
Riserva;Kovalenko;C;6.5;;2435
Riserva;Henry;A;6;;2568
