Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Meret;P;6.25;imgBonus size-s imgBonus_2;325
Titolare;Rrahmani;D;6;;2045
Titolare;Schuurs;D;5.5;imgBonus size-s imgBonus_6;2832
Titolare;Smalling;D;7;;2119
Riserva;Saponara;C;;;418
Titolare;Felipe Anderson;C;6.5;;196
Titolare;Ederson;C;5;;2701
Titolare;Kostic;C;5.5;;2818
Titolare;Nzola;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2270
Riserva;Abraham;A;;;2558
Titolare;Pinamonti;A;5.75;imgBonus size-s imgBonus_6;1306
Riserva;Gollini;P;;;222
Titolare;Defrel;A;6;;801
Riserva;Becao;D;5.5;;2034
Titolare;Brekalo;C;5.75;;2591
Riserva;Juan Jesus;D;;;261
Riserva;Luperto;D;6;;682
Riserva;Coulibaly L.;C;5.5;imgBonus size-s imgBonus_6;2554
