Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Audero;P;6.5;imgBonus size-s imgBonus_10;525
Titolare;Alex Sandro;D;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;993
Titolare;Acerbi;D;5.5;;40
Titolare;Skriniar;D;6.5;;1099
Titolare;Politano;C;7;imgBonus size-s imgBonus_1;510
Titolare;Kessie;C;6;;1191
Titolare;Kulusevski;C;6;;1739
Titolare;Barella;C;6.5;;809
Titolare;Rebic;A;6;;625
Titolare;Destro;A;5.5;;169
Titolare;Zapata D.;A;7;;483
Riserva;Musso;P;6;imgBonus size-s imgBonus_2;1794
Riserva;Lozano;A;6.5;imgBonus size-s imgBonus_9;2108
Riserva;Miranchuk;C;;;2307
Riserva;Palomino;D;6;;1531
Riserva;Romero C.;D;6.5;;1890
Riserva;Ghiglione;D;;;745
Riserva;Czyborra;D;;;2164
