Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Di Gregorio;P;6.5;imgBonus size-s imgBonus_10;1429
Titolare;Angori;D;6.5;;2692
Titolare;Palestra;D;6.25;;2937
Titolare;Zappacosta;D;6.5;;484
Titolare;Cambiaghi;C;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_7;1975
Titolare;Yildiz;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_4;2952
Titolare;Vlasic;C;5;;2827
Titolare;Zalewski;C;6.5;;2382
Titolare;Colombo;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2309
Titolare;Zapata;A;5.5;;483
Riserva;Orsolini;A;;;1519
Riserva;Perin;P;;;369
Titolare;Adams;A;6;;3421
Riserva;Simeone;A;5.75;;1343
Riserva;Rodriguez J.;C;6.25;imgBonus size-s imgBonus_9;3711
Riserva;Frendrup;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2706
Riserva;Zanoli;D;6;;2574
Riserva;Estupinan;D;5.25;imgBonus size-s imgBonus_6;1231
