Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sava;P;5.75;imgBonus size-s imgBonus_2;2211
Titolare;Dimarco;D;7.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;599
Titolare;Solet;D;6.5;imgBonus size-s imgBonus_9;3541
Titolare;Spinazzola;D;6.5;;957
Titolare;Modric;C;7;;3734
Titolare;Odgaard;C;6.75;imgBonus size-s imgBonus_1;1793
Riserva;Calhanoglu;C;;;1507
Riserva;Zaccagni;C;;;748
Titolare;Dovbyk;A;6.25;imgBonus size-s imgBonus_9;3439
Titolare;Krstovic;A;6;;3191
Titolare;Lauriente;A;5.5;;2857
Riserva;Maignan;P;7.25;imgBonus size-s imgBonus_10;2498
Riserva;Leao;A;5;;2089
Titolare;Zaniolo;C;5.25;imgBonus size-s imgBonus_6;1827
Titolare;Loftus Cheek;C;6;;3077
Riserva;Doig;D;6.5;;2782
Riserva;Idzes;D;6.5;;3361
Riserva;Gila;D;5;;2776
