Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Donnarumma G.;P;6;imgBonus size-s imgBonus_10;181
Titolare;Criscito;D;7.5;imgBonus size-s imgBonus_3;1804
Titolare;Romagnoli A.;D;6.5;;404
Titolare;Gosens;D;6.5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;1533
Titolare;Orsolini;C;5.5;;1519
Titolare;Milinkovic S.;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;760
Riserva;Pandev;C;;;675
Titolare;Pulgar;C;6;;931
Titolare;Zielinski;C;6.5;imgBonus size-s imgBonus_6;486
Titolare;Ilicic;A;5.5;;249
Riserva;Milik;A;;;1296
Riserva;Consigli;P;6.5;imgBonus size-s imgBonus_2;147
Titolare;Vlahovic;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;1816
Riserva;Manolas;D;6;;300
Riserva;Calhanoglu;C;;;1507
Titolare;Perotti;C;5.5;;371
Riserva;Llorente;A;;;284
Riserva;Pinamonti;A;6;;1306
