Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Rui Patricio;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2508
Titolare;Dimarco;D;6.5;imgBonus size-s imgBonus_9;599
Titolare;Di Lorenzo;D;5.5;;1822
Titolare;Danilo;D;7.25;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2096
Titolare;Candreva;C;6;;33
Riserva;Weah;C;;;3074
Titolare;Loftus Cheek;C;6.5;imgBonus size-s imgBonus_6;3077
Titolare;Ferguson;C;5.5;imgBonus size-s imgBonus_6;2783
Titolare;Mboula;C;5.5;;3092
Titolare;Martinez L.;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1;1747
Titolare;Zirkzee;A;7;imgBonus size-s imgBonus_1;2438
Riserva;Svilar;P;;;2746
Riserva;Milik;A;7;imgBonus size-s imgBonus_9;1296
Riserva;Pellegri;A;5.5;imgBonus size-s imgBonus_6;1161
Titolare;Harroui;C;6;;2585
Riserva;Duda;C;5.5;;2910
Riserva;Augello;D;6;;2087
Riserva;Marusic;D;6.5;;1506
