Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Meret;P;6.5;imgBonus size-s imgBonus_2;325
Titolare;Lazzari;D;5.5;;1542
Riserva;Danilo Luiz;D;;;2096
Riserva;Pezzella Gi.;D;;;706
Titolare;Zappacosta;D;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;484
Titolare;Demme;C;7;;2156
Titolare;Obiang;C;6;;859
Titolare;Nandez;C;6.5;imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_9;2098
Titolare;Muriel;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_15;341
Titolare;Scamacca;A;6;;1454
Titolare;Ribery;A;6.5;;2106
Riserva;Ospina;P;;;1869
Riserva;De Silvestri;D;;;163
Titolare;Rogerio;D;5.5;;1110
Titolare;McKennie;C;5;;2297
Riserva;Castrovilli;C;6.5;;1460
Riserva;Morata;A;4.5;;336
Riserva;Dzeko;A;;;759
