Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Consigli;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;147
Titolare;Yoshida;D;5.5;;2182
Titolare;Dumfries;D;6;imgBonus size-s imgBonus_9;2551
Titolare;Alex Sandro;D;5;;993
Titolare;Barella;C;6.5;;809
Titolare;Perisic;C;7;;997
Titolare;Saelemaekers;C;5.5;;2178
Titolare;Traore;C;6.5;;1831
Titolare;Destro;A;5.5;;169
Titolare;Caputo;A;5.5;;1832
Titolare;Vlahovic;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;1816
Riserva;Pegolo;P;;;363
Riserva;Darmian;D;;;154
Riserva;Caldara;D;6.5;imgBonus size-s imgBonus_6;1192
Riserva;Torreira;C;6.5;;1216
Riserva;Ekdal;C;5.5;;812
Riserva;Cristante;C;6;;1080
Riserva;Simy;A;6.5;;1281
