Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;6.25;imgBonus size-s imgBonus_10;2498
Titolare;Hernandez;D;6;;2017
Titolare;Romagnoli A.;D;5.5;imgBonus size-s imgBonus_6;404
Titolare;Posch;D;5;imgBonus size-s imgBonus_6;2868
Titolare;Biraghi;D;5.5;imgBonus size-s imgBonus_8|imgBonus size-s imgBonus_9;95
Titolare;De Roon;C;6;imgBonus size-s imgBonus_6;670
Titolare;Calhanoglu;C;6.75;imgBonus size-s imgBonus_9;1507
Titolare;Sottil;C;6.25;;1595
Titolare;Zaccagni;C;6.25;;748
Titolare;Lozano;A;5.5;;2108
Titolare;Leao;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2089
Riserva;Skorupski;P;5.25;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_6;429
Riserva;Petagna;A;;;1193
Riserva;Piatek;A;;;1807
Riserva;Bennacer;C;6.25;;1830
Riserva;Ilic;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2326
Riserva;Milenkovic;D;5.25;imgBonus size-s imgBonus_6;1552
Riserva;Rodriguez R.;D;6;imgBonus size-s imgBonus_6;1504
