Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sommer;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;3174
Titolare;Bastoni A.;D;6;imgBonus size-s imgBonus_6;1389
Titolare;Martin;D;6;;3068
Titolare;Scalvini;D;5.5;imgBonus size-s imgBonus_6;2561
Riserva;Mctominay;C;;;3488
Titolare;Zalewski;C;7;imgBonus size-s imgBonus_1;2382
Titolare;Bernabe;C;7;imgBonus size-s imgBonus_1;3378
Titolare;Nicolussi;C;6.5;imgBonus size-s imgBonus_9;1955
Titolare;Adopo;C;5.5;;1738
Titolare;Soule;A;5.5;;2604
Titolare;Douvikas;A;5.5;;3598
Riserva;Di Gennaro;P;;;1211
Titolare;Maleh;C;6;;2509
Riserva;Sorensen;C;6;;3779
Riserva;Prati;C;5.75;;3189
Riserva;Kelly;D;6.5;;3584
Riserva;Miranda J.;D;6;;3395
Riserva;Bowie;A;6.5;;3901
