Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Donnarumma G.;P;6;imgBonus size-s imgBonus_2;181
Titolare;Criscito;D;6;;1804
Titolare;Romagnoli A.;D;5.5;;404
Titolare;Gosens;D;5.5;;1533
Titolare;Calhanoglu;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_15;1507
Titolare;Milinkovic S.;C;5.5;;760
Titolare;Pulgar;C;6;;931
Titolare;Zielinski;C;6.5;;486
Titolare;Orsolini;C;5.5;;1519
Riserva;Vlahovic;A;;;1816
Titolare;Pinamonti;A;6;;1306
Riserva;Strakosha;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;439
Riserva;Pandev;C;6;imgBonus size-s imgBonus_9;675
Riserva;Castagne;D;6;;1515
Riserva;Kolarov;D;5.5;;1600
Titolare;Milik;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1296
Riserva;Di Carmine;A;6;;2067
Riserva;Lozano;A;;;2108
