Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Reina;P;7;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;551
Titolare;Hernandez;D;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;2017
Titolare;Manolas;D;6;;300
Titolare;Toloi;D;6.5;;1013
Titolare;Zielinski;C;6.5;imgBonus size-s imgBonus_9;486
Titolare;Ramsey;C;6;;2028
Titolare;Bentancur;C;5;;1518
Titolare;Jankto;C;6.5;;257
Titolare;Boga;A;5.5;;1840
Titolare;Lasagna;A;5;;612
Titolare;Belotti;A;6.5;;79
Riserva;Strakosha;P;;;439
Riserva;Rabiot;C;;;2029
Riserva;Locatelli;C;6.5;imgBonus size-s imgBonus_6;1123
Riserva;Ionita;C;6;;252
Riserva;Muriqi;A;5.5;imgBonus size-s imgBonus_6;2333
Riserva;Marchizza;D;6;;1087
Riserva;Vojvoda;D;;;2292
