Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;6.5;imgBonus size-s imgBonus_10;2498
Riserva;Gosens;D;;;1533
Titolare;Pellegrini Lu.;D;6;;1725
Titolare;Biraghi;D;5;;95
Titolare;Zaccagni;C;6.5;;748
Titolare;Calhanoglu;C;6.5;imgBonus size-s imgBonus_6;1507
Titolare;Messias;C;6.5;imgBonus size-s imgBonus_9;2300
Titolare;Manaj;A;6;imgBonus size-s imgBonus_4;975
Titolare;Insigne L.;A;7;imgBonus size-s imgBonus_3;251
Titolare;Simeone;A;5;;1343
Titolare;Dzeko;A;5.5;;759
Riserva;Skorupski;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;429
Titolare;Milenkovic;D;5;;1552
Riserva;Rodriguez R.;D;6.5;;1504
Riserva;Felipe Anderson;C;5.5;;196
Riserva;Correa;A;6.5;;148
Riserva;Ibrahimovic;A;;;2152
Riserva;Lukic;C;6;;1298
