Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Silvestri;P;6;imgBonus size-s imgBonus_2;1599
Titolare;Parisi;D;6.5;;2492
Riserva;Marlon;D;;;1872
Titolare;Ehizibue;D;5.5;;2860
Titolare;Pereyra;C;5.5;;367
Titolare;Samardzic;C;6;;2541
Riserva;Barak;C;;;1622
Titolare;Winks;C;5.75;;2861
Titolare;Osimhen;A;5.5;;2290
Titolare;Nestorovski;A;4.75;;1202
Riserva;Gaich;A;;;2432
Riserva;Carnesecchi;P;6.5;imgBonus size-s imgBonus_2;2299
Titolare;Buongiorno;D;6;;1463
Titolare;Colpani;C;6.5;imgBonus size-s imgBonus_9;1881
Riserva;Vilhena;C;6;;2817
Titolare;Djuric;A;5.75;;854
Riserva;Simeone;A;;;1343
Riserva;Mazzocchi;D;6.25;;2479
