Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Donnarumma G.;P;6;imgBonus size-s imgBonus_2;181
Titolare;Criscito;D;5;imgBonus size-s imgBonus_4;1804
Titolare;Romagnoli A.;D;6.5;;404
Titolare;Gosens;D;7;imgBonus size-s imgBonus_1;1533
Titolare;Pandev;C;5.5;;675
Titolare;Milinkovic S.;C;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;760
Titolare;Orsolini;C;5.5;;1519
Titolare;Zielinski;C;6.5;;486
Titolare;Vlahovic;A;6;;1816
Riserva;Ilicic;A;;;249
Titolare;Milik;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1296
Riserva;Strakosha;P;5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;439
Riserva;Calhanoglu;C;7;imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_9;1507
Riserva;Pulgar;C;6.5;imgBonus size-s imgBonus_9;931
Riserva;Kolarov;D;6.5;;1600
Titolare;Di Carmine;A;6.5;;2067
Riserva;Manolas;D;;;300
Riserva;Pinamonti;A;5.5;;1306
